Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Agnes Martin,-0.05374999999999998,0.0125,0.0125,0.3005,0.022875,0.026375000000000003,0.11199999999999999,0.022875,0.010375,0.123125,0.14562499999999998,0.0,0.12562500000000001,0.026375000000000003,0.0125,0.035375000000000004,0.0125,0.020874999999999998,0.41374999999999995,0.060375000000000005,0.036375000000000005
Alex Hay,0.18,0.091,0.0,0.455,0.091,0.091,0.182,0.091,0.0,0.091,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.182,0.0
Anne Truitt,0.2,0.0,0.0,0.35,0.05,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.2,0.1,0.0,0.05,0.0,0.0,0.4,0.1,0.05
Antonio Calderara,0.4233333333333334,0.0,0.015166666666666667,0.2993333333333333,0.0,0.011833333333333333,0.09933333333333333,0.0,0.015166666666666667,0.18916666666666668,0.12583333333333335,0.042166666666666665,0.09550000000000002,0.015166666666666667,0.011833333333333333,0.028499999999999998,0.0,0.023833333333333335,0.31150000000000005,0.10583333333333333,0.05416666666666667
Bernard Cohen,-0.6133333333333333,0.03333333333333333,0.030333333333333334,0.15766666666666668,0.0,0.03333333333333333,0.06366666666666666,0.030333333333333334,0.0,0.09400000000000001,0.12133333333333333,0.0,0.030333333333333334,0.0,0.0,0.12133333333333333,0.0,0.03333333333333333,0.35766666666666663,0.0,0.09100000000000001
Blinky Palermo,-0.18,0.013000000000000001,0.026000000000000002,0.221,0.0,0.026000000000000002,0.065,0.0,0.013000000000000001,0.078,0.11699999999999999,0.013000000000000001,0.052000000000000005,0.026000000000000002,0.026000000000000002,0.091,0.013000000000000001,0.013000000000000001,0.429,0.052000000000000005,0.052000000000000005
Bob Law,-0.9533333333333335,0.023666666666666666,0.030333333333333334,0.2603333333333333,0.0,0.023666666666666666,0.21266666666666664,0.227,0.023666666666666666,0.04766666666666667,0.023666666666666666,0.0,0.0,0.10966666666666668,0.08166666666666667,0.0,0.0,0.0,0.321,0.0,0.057999999999999996
Brice Marden,-1.36,0.0,0.0,0.0,0.091,0.0,0.182,0.091,0.0,0.0,0.091,0.0,0.0,0.182,0.0,0.0,0.0,0.091,0.364,0.0,0.091
Bruce Nauman,0.8,0.1,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Charlotte Posenenske,0.043333333333333335,0.016666666666666666,0.03333333333333333,0.25916666666666666,0.0,0.03333333333333333,0.1895,0.05000000000000001,0.05000000000000001,0.08333333333333333,0.06666666666666667,0.03333333333333333,0.11516666666666665,0.016666666666666666,0.016666666666666666,0.05000000000000001,0.0,0.04700000000000001,0.33649999999999997,0.09699999999999999,0.06516666666666666
