Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Aaron Siskind,0.45,0.0,0.05,0.28200000000000003,0.14100000000000001,0.0955,0.14100000000000001,0.1,0.0,0.23650000000000002,0.28200000000000003,0.0,0.0955,0.0,0.0,0.0955,0.0,0.0,0.15,0.0455,0.0
Abidin Dino,-0.18,0.0,0.149,0.149,0.015,0.09,0.134,0.32799999999999996,0.015,0.045,0.075,0.015,0.075,0.11900000000000001,0.03,0.16399999999999998,0.03,0.0,0.254,0.075,0.0
Abraham Manievich,1.0066666666666666,0.005,0.09099999999999998,0.12066666666666666,0.030333333333333334,0.02766666666666667,0.03266666666666667,0.24166666666666667,0.01,0.13566666666666669,0.143,0.030333333333333334,0.06033333333333333,0.14066666666666666,0.06066666666666667,0.4416666666666667,0.09333333333333334,0.0,0.14133333333333334,0.10099999999999999,0.030333333333333334
Ad Reinhardt,-3.700743415417188e-17,0.0,0.03333333333333333,0.3333333333333333,0.0,0.10000000000000002,0.16666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.3666666666666667,0.06666666666666667,0.0
Afro,0.11499999999999999,0.0196,0.0851,0.24580000000000007,0.027000000000000003,0.038,0.11600000000000002,0.18540000000000004,0.0191,0.0324,0.04409999999999999,0.034199999999999994,0.0707,0.10500000000000001,0.0327,0.0865,0.0,0.038,0.36619999999999997,0.038900000000000004,0.0227
Agnes Martin,0.24500000000000002,0.0,0.0,0.2615,0.0415,0.0,0.125,0.0,0.0,0.1325,0.091,0.0,0.0415,0.0415,0.0415,0.17800000000000002,0.0,0.0415,0.303,0.087,0.0
Akira Kanayama,0.048,0.022,0.07139999999999999,0.316,0.027000000000000003,0.0442,0.1298,0.1142,0.017599999999999998,0.09980000000000001,0.0066,0.017599999999999998,0.1406,0.152,0.0426,0.1806,0.0354,0.0044,0.3754,0.06760000000000001,0.0044
Akseli Gallen-Kallela,1.46,0.0,0.0,0.208,0.0415,0.0,0.08349999999999999,0.20850000000000002,0.0415,0.08349999999999999,0.2085,0.08349999999999999,0.08349999999999999,0.083,0.0415,0.4585,0.0,0.08349999999999999,0.2085,0.2085,0.0
Al Held,-0.7,0.1,0.0,0.3,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Aladar Korosfoi-Kriesch,2.0,0.0,0.0,0.091,0.091,0.091,0.0,0.091,0.364,0.273,0.455,0.182,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0
Albert Bitran,0.15000000000000002,0.025,0.025,0.30000000000000004,0.0,0.05,0.1,0.175,0.0,0.05,0.0,0.0,0.0,0.07500000000000001,0.05,0.15000000000000002,0.025,0.025,0.475,0.1,0.0
Albert Bloch,0.33999999999999997,0.0,0.14100000000000001,0.191,0.14550000000000002,0.0,0.1365,0.47250000000000003,0.05,0.2,0.0455,0.05,0.05,0.0455,0.14100000000000001,0.37250000000000005,0.0,0.0955,0.1955,0.0955,0.0
Albert Gleizes,0.8,0.008,0.040999999999999995,0.20650000000000002,0.172,0.07450000000000001,0.049,0.12400000000000001,0.033,0.1655,0.040999999999999995,0.008,0.083,0.083,0.008,0.099,0.0,0.05,0.2575,0.1975,0.0
