Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Albrecht Altdorfer,0.4566666666666666,0.0,0.161,0.12766666666666668,0.161,0.03333333333333333,0.19433333333333333,0.4056666666666667,0.0,0.161,0.15566666666666665,0.02766666666666667,0.15566666666666665,0.08900000000000001,0.061,0.15566666666666668,0.05566666666666666,0.0,0.15566666666666665,0.37766666666666665,0.0
Albrecht Durer,1.1533333333333333,0.05566666666666668,0.169,0.08966666666666667,0.19983333333333334,0.0395,0.12849999999999998,0.2936666666666667,0.06716666666666667,0.17866666666666664,0.11399999999999999,0.007666666666666666,0.10816666666666667,0.14416666666666667,0.08900000000000001,0.15733333333333333,0.09133333333333334,0.0205,0.07050000000000001,0.2975,0.0
Andrea Mantegna,0.7599999999999999,0.0,0.06066666666666667,0.17400000000000002,0.06066666666666667,0.08166666666666667,0.11966666666666666,0.25466666666666665,0.051333333333333335,0.18433333333333335,0.22999999999999998,0.055999999999999994,0.030333333333333334,0.025666666666666667,0.055999999999999994,0.36366666666666664,0.12733333333333333,0.0,0.17866666666666667,0.4036666666666666,0.0
Andrea Solario,1.2,0.0,0.03333333333333333,0.0,0.26666666666666666,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.09999999999999999,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.0,0.0,0.43333333333333335,0.0
Andrea del Castagno,1.044,0.0382,0.02,0.0782,0.13820000000000002,0.0182,0.0782,0.0764,0.231,0.191,0.2528,0.151,0.11640000000000002,0.11820000000000001,0.0782,0.23280000000000003,0.0982,0.0382,0.0982,0.44719999999999993,0.0
Andrea del Sarto,1.59,0.026000000000000002,0.006500000000000001,0.09100000000000001,0.006500000000000001,0.013000000000000001,0.026000000000000002,0.013000000000000001,0.16899999999999998,0.2565,0.302,0.396,0.2695,0.006500000000000001,0.0195,0.11349999999999999,0.013000000000000001,0.026000000000000002,0.068,0.51,0.0
Andrea del Verrocchio,1.25,0.07075000000000001,0.12925,0.09575,0.0,0.037500000000000006,0.037500000000000006,0.11675,0.1,0.24174999999999996,0.15,0.275,0.15425,0.0,0.025,0.08325,0.05825,0.0,0.02075,0.38325,0.0
Antonello da Messina,0.8775,0.003,0.025,0.06225,0.12575,0.035,0.05075,0.15175,0.15450000000000003,0.12125,0.2435,0.07525,0.11675,0.1315,0.061,0.16025,0.0805,0.0155,0.07975,0.42625,0.028
Bartolomeo Veneto,1.5425,0.1,0.05,0.16825,0.2205,0.0,0.0,0.0,0.09775,0.4,0.14550000000000002,0.19099999999999998,0.23425,0.0,0.025,0.05,0.0,0.0,0.04775,0.5725,0.0
Benozzo Gozzoli,1.255,0.0,0.0,0.129,0.0,0.0455,0.0,0.0455,0.1745,0.4735,0.25749999999999995,0.25,0.129,0.0,0.0415,0.1325,0.0,0.0,0.087,0.47750000000000004,0.0
