,Style,Category,Artist,Title,Year,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral,withChrist
911,Modern Art,Impressionism,Francisco Oller,"la hacienda buenavista en ponce, puerto rico",1840,yes,none,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,no
952,Modern Art,Abstract Expressionism,Victor Hugo,silhouette fantastique,1854,yes,none,-0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.2,0.0,0.0,0.3,0.0,0.0,no
957,Modern Art,Abstract Expressionism,Victor Hugo,lace and ghosts,1856,yes,none,-0.2,0.0,0.2,0.1,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.0,no
964,Modern Art,Impressionism,Jules Dupre,the windmill,1859,yes,none,1.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.6,0.3,0.1,0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.2,0.0,no
978,Modern Art,Impressionism,Edouard Manet,music in the tuileries garden,1862,yes,face,1.63,0.08900000000000001,0.0,0.098,0.125,0.0,0.018000000000000002,0.009000000000000001,0.027000000000000003,0.848,0.161,0.107,0.268,0.018000000000000002,0.0,0.009000000000000001,0.0,0.009000000000000001,0.045,0.214,0.0,no
982,Modern Art,Impressionism,Berthe Morisot,the old track to auvers,1863,yes,face,2.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.1,0.1,0.0,0.4,0.0,0.0,0.2,0.3,0.0,no
994,Modern Art,Abstract Expressionism,Victor Hugo,taches with fingerprints,1865,yes,none,0.18,0.0,0.091,0.273,0.0,0.091,0.091,0.273,0.0,0.091,0.091,0.0,0.091,0.091,0.091,0.091,0.0,0.091,0.364,0.091,0.091,no
997,Modern Art,Impressionism,Claude Monet,women in the garden,1866,yes,face,2.21,0.039,0.0,0.065,0.013000000000000001,0.013000000000000001,0.0,0.0,0.13,0.792,0.221,0.377,0.28600000000000003,0.0,0.0,0.013000000000000001,0.0,0.013000000000000001,0.039,0.20800000000000002,0.0,no
1007,Modern Art,Impressionism,Honore Daumier,"don quixote, sancho pansa and the dead mule",1867,yes,face,1.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.2,0.5,0.1,0.0,0.0,0.1,0.0,no
1008,Modern Art,Impressionism,Frederic Bazille,family reunion,1867,yes,face,2.18,0.091,0.0,0.091,0.0,0.091,0.091,0.182,0.273,0.636,0.364,0.273,0.273,0.0,0.091,0.0,0.0,0.091,0.091,0.273,0.0,no
1009,Modern Art,Impressionism,Frederic Bazille,the terrace at m&#233;ric (oleander),1867,yes,body,1.69,0.077,0.0,0.154,0.077,0.077,0.0,0.154,0.077,0.462,0.308,0.077,0.077,0.077,0.0,0.077,0.0,0.0,0.0,0.231,0.0,no
