,Style,Category,Artist,Title,Year,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral,withChrist
277,Post Renaissance Art,Baroque,Paul Bril,landscape with roman ruins,1580,yes,face,1.64,0.091,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.455,0.364,0.091,0.091,0.0,0.0,0.0,0.091,0.0,0.0,0.273,0.0,no
278,Post Renaissance Art,Baroque,Agostino Carracci,"the holy family with sts. anthony abbot, catherine and the infant st. john",1582,yes,face,1.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,yes
279,Post Renaissance Art,Baroque,Annibale Carracci,the laughing youth,1583,yes,face,0.71,0.071,0.071,0.14300000000000002,0.35700000000000004,0.071,0.071,0.071,0.071,0.5710000000000001,0.14300000000000002,0.071,0.28600000000000003,0.071,0.071,0.071,0.071,0.071,0.214,0.14300000000000002,0.0,no
280,Post Renaissance Art,Baroque,Otto van Veen,"the artist painting, surrounded by his family",1584,yes,face,1.9,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.5,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,no
283,Post Renaissance Art,Baroque,Agostino Carracci,titian,1587,yes,face,1.69,0.0,0.077,0.0,0.077,0.0,0.077,0.0,0.077,0.077,0.154,0.0,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.769,0.077,no
285,Post Renaissance Art,Baroque,Agostino Carracci,"portrait of christine of lorraine, grand duchess of tuscany",1589,yes,face,-0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,yes
287,Post Renaissance Art,Baroque,Agostino Carracci,the ecstasy of saint catherine,1590,yes,face,1.08,0.0,0.0,0.077,0.0,0.0,0.0,0.154,0.077,0.6920000000000001,0.231,0.308,0.077,0.0,0.0,0.154,0.0,0.0,0.077,0.385,0.0,yes
289,Post Renaissance Art,Baroque,Otto van Veen,the last supper,1592,yes,face,1.74,0.158,0.0,0.053,0.0,0.0,0.0,0.105,0.053,0.316,0.263,0.21100000000000002,0.105,0.053,0.105,0.105,0.0,0.0,0.053,0.368,0.0,no
290,Post Renaissance Art,Baroque,Caravaggio,young sick bacchus,1593,yes,face,1.36,0.0,0.0,0.091,0.182,0.0,0.0,0.273,0.0,0.273,0.182,0.0,0.182,0.091,0.0,0.273,0.091,0.0,0.0,0.182,0.0,no
291,Post Renaissance Art,Baroque,Caravaggio,boy with a basket of fruit,1593,yes,face,1.9,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,no
292,Post Renaissance Art,Baroque,Agostino Carracci,head of a faun in a concave,1595,yes,face,1.3,0.0,0.1,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.3,0.0,no
293,Post Renaissance Art,Baroque,Paul Bril,landscape with a marsh,1595,yes,none,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,no
294,Post Renaissance Art,Baroque,Caravaggio,the lute player,1596,yes,face,1.5,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.583,0.25,0.083,0.33299999999999996,0.083,0.0,0.25,0.0,0.083,0.25,0.25,0.0,no
295,Post Renaissance Art,Baroque,Caravaggio,medusa,1597,yes,face,0.0,0.0,0.154,0.154,0.077,0.0,0.308,0.9229999999999999,0.077,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.077,0.0,no
296,Post Renaissance Art,Baroque,Paul Bril,fantastic mountain landscape,1598,yes,face,1.73,0.0,0.0,0.182,0.0,0.0,0.0,0.091,0.091,0.909,0.182,0.182,0.455,0.0,0.0,0.091,0.0,0.091,0.091,0.273,0.0,no
297,Post Renaissance Art,Baroque,Guido Reni,rosary madonna,1598,yes,face,1.25,0.0,0.0,0.25,0.083,0.0,0.0,0.0,0.25,0.41700000000000004,0.16699999999999998,0.583,0.25,0.0,0.0,0.0,0.0,0.0,0.083,0.583,0.0,yes
298,Post Renaissance Art,Baroque,Caravaggio,narcissus,1599,yes,face,0.77,0.0,0.0,0.154,0.5379999999999999,0.0,0.0,0.077,0.0,0.077,0.231,0.077,0.077,0.0,0.0,0.231,0.154,0.0,0.077,0.077,0.0,no
299,Post Renaissance Art,Baroque,Caravaggio,david and goliath,1599,yes,face,1.0,0.16699999999999998,0.41700000000000004,0.083,0.0,0.25,0.16699999999999998,0.25,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.083,0.083,0.0,0.16699999999999998,0.083,0.0,no
300,Post Renaissance Art,Baroque,Paul Bril,ruins and figures,1600,yes,face,1.3,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.1,0.3,0.0,no
301,Post Renaissance Art,Baroque,Francisco Pacheco,san joaqu&#237;n y santa ana,1600,yes,face,0.83,0.083,0.0,0.083,0.0,0.0,0.0,0.083,0.083,0.25,0.25,0.25,0.41700000000000004,0.0,0.0,0.0,0.0,0.0,0.083,0.583,0.0,no
302,Post Renaissance Art,Baroque,Otto van Veen,portrait of nicolaas rockox,1600,yes,face,1.5,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,no
303,Post Renaissance Art,Baroque,Paul Bril,diana and her nymphs at the hunt,1600,yes,body,1.6,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,no
305,Post Renaissance Art,Baroque,Hendrick Cornelisz Vroom,"attack on spanish treasure galleys, portugal",1602,yes,none,2.3,0.0,0.0,0.1,0.1,0.3,0.0,0.2,0.0,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,no
306,Post Renaissance Art,Baroque,Caravaggio,john the baptist,1602,yes,face,1.14,0.071,0.0,0.071,0.14300000000000002,0.0,0.0,0.14300000000000002,0.0,0.429,0.0,0.071,0.071,0.14300000000000002,0.0,0.071,0.0,0.14300000000000002,0.0,0.35700000000000004,0.0,no
307,Post Renaissance Art,Baroque,Caravaggio,amor victorious,1602,yes,face,1.3,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.1,0.9,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,no
308,Post Renaissance Art,Baroque,Paul Bril,the campo vaccino with a gypsy woman reading a palm,1603,yes,face,0.9,0.1,0.0,0.4,0.2,0.0,0.2,0.2,0.1,0.6,0.4,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.2,0.2,0.0,no
