,Style,Category,Artist,Title,Year,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral,withChrist
0,Renaissance Art,Northern Renaissance,Robert Campin,"triptych: the two thieves with the empty cross, the entombment, the resurrection",1415,yes,face,1.2,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.1,0.5,0.0,yes
1,Renaissance Art,Early Renaissance,Masaccio,st. juvenal triptych,1422,yes,face,1.06,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.188,0.188,0.313,0.313,0.188,0.0,0.0,0.063,0.0,0.0,0.0,0.688,0.0,yes
2,Renaissance Art,Northern Renaissance,Robert Campin,blessing christ and praying virgin,1424,yes,face,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.0,yes
3,Renaissance Art,Early Renaissance,Masaccio,the tribute money,1425,yes,face,1.08,0.0,0.083,0.16699999999999998,0.083,0.083,0.083,0.083,0.083,0.33299999999999996,0.41700000000000004,0.0,0.083,0.083,0.0,0.0,0.083,0.0,0.16699999999999998,0.5,0.0,no
4,Renaissance Art,Early Renaissance,Masaccio,st. paul,1426,yes,face,1.45,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.182,0.091,0.273,0.091,0.273,0.0,0.0,0.364,0.0,0.0,0.091,0.364,0.0,yes
5,Renaissance Art,Early Renaissance,Masaccio,st. andrew,1426,yes,face,1.23,0.094,0.0,0.063,0.0,0.0,0.031,0.0,0.156,0.21899999999999997,0.406,0.109,0.109,0.016,0.016,0.23399999999999999,0.0,0.0,0.047,0.516,0.0,yes
6,Renaissance Art,Early Renaissance,Masaccio,adam and eve banished from paradise,1427,yes,face,0.63,0.0,0.127,0.042,0.027999999999999997,0.07,0.085,0.451,0.0,0.0,0.042,0.0,0.013999999999999999,0.19699999999999998,0.465,0.662,0.6759999999999999,0.027999999999999997,0.013999999999999999,0.085,0.0,yes
7,Renaissance Art,Northern Renaissance,Robert Campin,holy virgin in glory,1430,yes,face,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.4,0.3,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.5,0.0,yes
8,Renaissance Art,Early Renaissance,Filippo Lippi,madonna and child,1430,yes,face,1.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,yes
9,Renaissance Art,Early Renaissance,Fra Angelico,last judgment,1431,yes,face,1.14,0.071,0.071,0.14300000000000002,0.071,0.0,0.0,0.28600000000000003,0.071,0.14300000000000002,0.14300000000000002,0.071,0.14300000000000002,0.14300000000000002,0.071,0.0,0.071,0.071,0.14300000000000002,0.429,0.0,yes
