Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Keith Sonnier,0.9,0.1,0.01,0.356,0.11,0.0195,0.029500000000000002,0.05,0.060000000000000005,0.3675,0.099,0.11950000000000001,0.1785,0.0,0.05,0.01,0.0,0.060000000000000005,0.297,0.159,0.01
Gego,0.9,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.4,0.0
Jean Degottex,0.9,0.0,0.0,0.5,0.1,0.2,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.4,0.1,0.0
Judy Chicago,0.85,0.0,0.0,0.154,0.0,0.0,0.154,0.0,0.0,0.231,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.077,0.308,0.0,0.0
Francois Morellet,0.84,0.0755,0.0625,0.3025,0.006500000000000001,0.019,0.138,0.019,0.0125,0.1385,0.044500000000000005,0.0255,0.1385,0.0125,0.006500000000000001,0.0125,0.0,0.0125,0.346,0.095,0.0565
Bruce Nauman,0.8,0.1,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Robert Morris,0.7400000000000001,0.0,0.0,0.31533333333333335,0.0,0.09400000000000001,0.06066666666666667,0.0,0.0,0.12133333333333333,0.12133333333333333,0.06066666666666667,0.12433333333333334,0.0,0.0,0.03333333333333333,0.0,0.030333333333333334,0.4456666666666667,0.06366666666666666,0.030333333333333334
Tony Smith,0.718,0.046599999999999996,0.011800000000000001,0.36719999999999997,0.05840000000000001,0.011800000000000001,0.16160000000000002,0.023600000000000003,0.041800000000000004,0.0882,0.1016,0.041800000000000004,0.09,0.07660000000000002,0.011800000000000001,0.07339999999999999,0.011800000000000001,0.023600000000000003,0.28500000000000003,0.1594,0.0
Lyman Kipp,0.615,0.032,0.013000000000000001,0.4295,0.013000000000000001,0.006500000000000001,0.1015,0.006500000000000001,0.006500000000000001,0.195,0.132,0.019,0.1015,0.006500000000000001,0.0,0.0,0.0,0.019,0.3165,0.1575,0.013000000000000001
James Lee Byars,0.615,0.0385,0.0,0.177,0.0385,0.05,0.0385,0.0,0.0385,0.154,0.05,0.3075,0.0385,0.15,0.0,0.1,0.0,0.0,0.327,0.0385,0.05
Tony DeLap,0.59,0.0,0.0,0.235,0.0,0.0,0.17600000000000002,0.0,0.0,0.11800000000000001,0.11800000000000001,0.059000000000000004,0.11800000000000001,0.0,0.0,0.0,0.0,0.0,0.47100000000000003,0.0,0.0
Jeremy Moon,0.565,0.08349999999999999,0.0,0.307,0.0,0.0455,0.0415,0.0,0.0415,0.1745,0.1325,0.0455,0.17800000000000002,0.087,0.0,0.0455,0.0,0.0,0.394,0.087,0.0
Mathias Goeritz,0.5,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.6,0.2,0.0
Antonio Calderara,0.4233333333333334,0.0,0.015166666666666667,0.2993333333333333,0.0,0.011833333333333333,0.09933333333333333,0.0,0.015166666666666667,0.18916666666666668,0.12583333333333335,0.042166666666666665,0.09550000000000002,0.015166666666666667,0.011833333333333333,0.028499999999999998,0.0,0.023833333333333335,0.31150000000000005,0.10583333333333333,0.05416666666666667
Edward Krasinski,0.4,0.0555,0.05,0.522,0.16649999999999998,0.05,0.15,0.10550000000000001,0.0,0.111,0.161,0.111,0.0,0.0,0.05,0.0,0.0,0.0,0.47800000000000004,0.21100000000000002,0.05
