Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Frederic Remington,2.6,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.1,0.7,0.0
Julius LeBlanc Stewart,2.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
Konstantin Yuon,2.45,0.091,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.727,0.273,0.091,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0
John Lavery,2.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,1.0,0.5,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0
Peder Severin Kroyer,2.355,0.0385,0.0,0.11549999999999999,0.019,0.0,0.0,0.0095,0.173,0.75,0.25,0.221,0.356,0.0,0.019,0.125,0.0,0.048,0.077,0.23099999999999998,0.0
Asgrimur Jonsson,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
Leon Wycz&#243;Åkowski,2.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0
Anders Zorn,2.25,0.0,0.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.083,0.667,0.0,0.25,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,0.083,0.16699999999999998,0.0
Edmund Charles Tarbell,2.19,0.08,0.0,0.027000000000000003,0.053,0.0,0.0,0.0,0.133,0.8,0.34700000000000003,0.2,0.293,0.0,0.013000000000000001,0.04,0.0,0.04,0.027000000000000003,0.187,0.0
Mildred Anne Butler,2.18,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.455,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0
Ant&#243;nio de Carvalho da Silva Porto,2.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.8,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Childe Hassam,2.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0
Georges Lemmen,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.1,0.2,0.0,0.0,0.2,0.0,0.3,0.0,0.1,0.0
Federico Zandomeneghi,2.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.9,0.1,0.3,0.5,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.0
Martiros Sarian,2.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,0.3,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0
