Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
William Collins,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Maxfield Parrish,2.46,0.154,0.0,0.077,0.0,0.0,0.0,0.0,0.154,0.846,0.308,0.385,0.385,0.0,0.0,0.0,0.0,0.0,0.077,0.462,0.0
Thomas Sully,2.4,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.5,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0
Ivan Shishkin,2.38,0.13,0.01,0.09,0.03,0.02,0.0,0.0,0.09,0.8500000000000001,0.34,0.41000000000000003,0.33999999999999997,0.02,0.0,0.060000000000000005,0.0,0.02,0.01,0.27,0.0
Johan Christian Dahl,2.3499999999999996,0.0,0.05,0.05,0.0,0.0,0.05,0.35,0.1,0.3,0.1,0.15000000000000002,0.1,0.1,0.05,0.05,0.0,0.0,0.1,0.45,0.0
Daniel Ridgway Knight,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.4,0.3,0.2,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0
Christoffer Wilhelm Eckersberg,2.27,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.091,0.182,0.091,0.182,0.182,0.0,0.0,0.0,0.0,0.091,0.182,0.364,0.0
John Wilson Carmichael,2.2,0.087,0.0,0.129,0.0,0.087,0.0455,0.087,0.1325,0.6060000000000001,0.3485,0.0415,0.17049999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.3975,0.0
Nicolae Grigorescu,2.18,0.182,0.0,0.091,0.0,0.0,0.0,0.0,0.091,0.455,0.364,0.273,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0
Johann Anton de Peters,2.15,0.15,0.0,0.1,0.05,0.05,0.0,0.0,0.25,0.9,0.35,0.6,0.3,0.0,0.05,0.0,0.0,0.05,0.1,0.4,0.0
Theodore Rousseau,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555,0.889,0.522,0.05,0.322,0.05,0.05,0.1,0.0,0.0,0.0,0.111,0.0
John William Godward,2.12,0.032499999999999994,0.0,0.0841,0.0366,0.0189,0.0174,0.0106,0.0624,0.575,0.21560000000000007,0.3302,0.22879999999999998,0.0091,0.0491,0.1347,0.0,0.0075,0.0695,0.3447,0.0
Thomas Cole,2.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0
Theodore Chasseriau,2.0933333333333333,0.030333333333333334,0.0,0.09700000000000002,0.09700000000000002,0.030333333333333334,0.0,0.030333333333333334,0.12433333333333334,0.391,0.285,0.4516666666666667,0.13033333333333333,0.0,0.0,0.030333333333333334,0.03333333333333333,0.0,0.0,0.385,0.0
David Cox,2.09,0.0,0.0,0.273,0.091,0.0,0.0,0.0,0.182,0.455,0.182,0.0,0.0,0.091,0.0,0.091,0.0,0.091,0.0,0.364,0.0
