Artist,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Hans Memling,2.1,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.06666666666666667,0.2333333333333333,0.3333333333333333,0.2333333333333333,0.3,0.06666666666666667,0.0,0.09999999999999999,0.26666666666666666,0.03333333333333333,0.0,0.10000000000000002,0.6,0.0
Raphael,1.975,0.0415,0.0,0.0415,0.0,0.0,0.0,0.0415,0.3665,0.7415,0.65,0.65,0.24150000000000002,0.0,0.0,0.0,0.0,0.0,0.0415,0.6835,0.0
Leonardo da Vinci,1.92375,0.065375,0.0013750000000000001,0.11437499999999999,0.047125,0.0235,0.022125,0.038875,0.182125,0.467625,0.21725000000000003,0.407125,0.206125,0.026375000000000003,0.025,0.102875,0.025,0.03075,0.06387500000000002,0.46375,0.0
Dosso Dossi,1.9075000000000002,0.012,0.079,0.16924999999999998,0.037000000000000005,0.033,0.012,0.054000000000000006,0.09125,0.39925,0.03625,0.1355,0.24025,0.025,0.004,0.112,0.012,0.008,0.07825000000000001,0.3485,0.0
Lorenzo Lotto,1.78,0.057333333333333326,0.015166666666666667,0.121,0.015166666666666667,0.03183333333333333,0.016666666666666666,0.074,0.139,0.4306666666666666,0.29666666666666663,0.2836666666666667,0.14216666666666666,0.015166666666666667,0.04700000000000001,0.07883333333333334,0.04700000000000001,0.015166666666666667,0.08033333333333333,0.4323333333333334,0.0
Maarten de Vos,1.7516666666666667,0.06133333333333333,0.015166666666666667,0.13616666666666669,0.09000000000000001,0.013833333333333335,0.028999999999999998,0.0305,0.1085,0.49616666666666664,0.23216666666666663,0.4735000000000001,0.20266666666666666,0.028999999999999998,0.04416666666666667,0.07216666666666667,0.05933333333333334,0.0,0.030333333333333334,0.3575,0.0
Giovanni Bellini,1.7,0.15000000000000002,0.0,0.125,0.07500000000000001,0.0,0.0,0.05,0.19999999999999998,0.4,0.275,0.275,0.15,0.025,0.07500000000000001,0.225,0.0,0.05,0.07500000000000001,0.525,0.0
Jacopo Bellini,1.64,0.046000000000000006,0.015,0.074,0.015,0.015,0.035666666666666666,0.09733333333333334,0.16533333333333333,0.308,0.265,0.4546666666666667,0.158,0.043333333333333335,0.04833333333333334,0.1406666666666667,0.035666666666666666,0.015,0.09933333333333333,0.6386666666666666,0.0
Giovanni Antonio Boltraffio,1.6239999999999999,0.035199999999999995,0.009,0.07780000000000001,0.006,0.009,0.006,0.009,0.0898,0.3766,0.2672,0.46580000000000005,0.1694,0.049,0.029000000000000005,0.055200000000000006,0.026000000000000002,0.089,0.0488,0.4136,0.0
Dirk Bouts,1.6166666666666665,0.05000000000000001,0.05000000000000001,0.11666666666666665,0.10000000000000002,0.0,0.016666666666666666,0.05000000000000001,0.2833333333333334,0.45,0.3333333333333334,0.25,0.15000000000000002,0.03333333333333333,0.0,0.08333333333333333,0.0,0.03333333333333333,0.05000000000000001,0.45,0.0
Sandro Botticelli,1.608,0.0548,0.02,0.1,0.1746,0.0,0.073,0.0,0.1766,0.49660000000000004,0.11299999999999999,0.4266,0.26639999999999997,0.0,0.0182,0.04,0.0,0.0,0.04,0.4138,0.0
Andrea del Sarto,1.59,0.026000000000000002,0.006500000000000001,0.09100000000000001,0.006500000000000001,0.013000000000000001,0.026000000000000002,0.013000000000000001,0.16899999999999998,0.2565,0.302,0.396,0.2695,0.006500000000000001,0.0195,0.11349999999999999,0.013000000000000001,0.026000000000000002,0.068,0.51,0.0
Bartolomeo Veneto,1.5425,0.1,0.05,0.16825,0.2205,0.0,0.0,0.0,0.09775,0.4,0.14550000000000002,0.19099999999999998,0.23425,0.0,0.025,0.05,0.0,0.0,0.04775,0.5725,0.0
Konrad Witz,1.5224999999999997,0.036750000000000005,0.02275,0.121,0.07050000000000001,0.02625,0.0525,0.06325,0.222,0.2965,0.331,0.223,0.17375000000000002,0.07175000000000001,0.01925,0.0875,0.01925,0.02275,0.0455,0.4045000000000001,0.0
Pietro Perugino,1.5,0.05455555555555555,0.02022222222222222,0.1368888888888889,0.03233333333333334,0.011111111111111112,0.021222222222222222,0.11622222222222223,0.23633333333333337,0.29133333333333333,0.28555555555555556,0.21722222222222223,0.20066666666666666,0.03133333333333334,0.06266666666666666,0.13944444444444445,0.021222222222222222,0.022222222222222223,0.07677777777777778,0.512111111111111,0.0
